UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,EquipmentHealth
ENB201BEaH1,25,872.6,34.904,300.34195030857643,2019-01-25,5.661875427789186,1.0,10.0,4.338124572210814,,2025-09-23 08:12:24.506661,2025-09-23,2029-01-25,3.9088295687885006,39.08829568788501
ENB201DORDG1D11,15,854.25,56.95,319.34195030857643,2018-03-04,6.5571526351813825,1.0,10.0,3.4428473648186175,,2025-09-23 08:12:24.506661,2025-09-23,2028-03-04,3.4685831622176595,34.68583162217659
ENB201DORDS1EU2,15,123.033333333,8.2022222222,319.34195030857643,2018-03-04,6.5571526351813825,1.0,10.0,3.4428473648186175,,2025-09-23 08:12:24.506661,2025-09-23,2028-03-04,3.4680355920602333,34.68035592060234
ENB201DPSM160801,3,8.266666665999999,2.755555555333333,350.34195030857643,2019-10-19,4.930869267624915,2.0,10.0,5.069130732375085,,2025-09-23 08:12:24.506661,2025-03-24,2029-10-19,3.864476386036961,38.64476386036961
ENB201FGMSO6031,60,3196.199999994,53.2699999999,319.34195030857643,2018-02-04,6.633812457221081,4.0,10.0,3.3661875427789187,,2025-09-23 08:12:24.506661,2024-12-23,2028-02-04,4.655578370978782,46.555783709787825
ENB201FGMSO6032,59,4778.733333333,80.99548022598304,334.34195030857643,2018-02-04,6.633812457221081,4.0,10.0,3.3661875427789187,,2025-09-23 08:12:24.506661,2024-12-23,2028-02-04,4.655578370978782,46.555783709787825
ENB201M1,2,28.283333333,14.1416666665,1700.3419503085763,2019-10-19,4.930869267624915,2.0,10.0,5.069130732375085,,2025-09-23 08:12:24.506661,2025-03-24,2029-10-19,2.906228610540725,29.062286105407253
ENB204AN1,1,1.45,1.45,2059.3419503085765,2019-02-03,5.637234770704997,2.0,10.0,4.362765229295003,,2025-09-23 08:12:24.506661,2025-03-24,2029-02-03,3.298562628336756,32.98562628336756
ENB204ATRK175481,34,95.399999994,2.805882352764706,683.3419503085763,2018-04-12,6.450376454483231,1.0,10.0,3.549623545516769,,2025-09-23 08:12:24.506661,2025-09-23,2028-04-12,3.48993839835729,34.899383983572896
ENB204AtAN1,9,29.5,3.2777777777777777,352.34195030857643,2018-06-11,6.286105407255304,1.0,10.0,3.713894592744696,,2025-09-23 08:12:24.506661,2025-09-23,2028-06-11,3.6290212183436004,36.290212183436005
ENB204AtRK175491,7,9.883333333,1.4119047618571428,343.34195030857643,2018-04-25,6.414784394250513,1.0,10.0,3.585215605749487,,2025-09-23 08:12:24.506661,2025-09-23,2028-04-25,3.5441478439425054,35.441478439425055
ENB204D012301,1,0.566666667,0.566666667,1670.3419503085763,2020-02-27,4.572210814510609,2.0,,,,2025-09-23 08:12:24.506661,2025-03-24,,2.1279945242984253,
ENB204DOU210001,15,126.033333333,8.4022222222,319.34195030857643,2018-01-03,6.721423682409308,1.0,10.0,3.2785763175906917,,2025-09-23 08:12:24.506661,2025-09-23,2028-01-03,3.4680355920602333,34.68035592060234
ENB204DOU210002,15,112.75,7.516666666666667,319.34195030857643,2018-02-04,6.633812457221081,1.0,10.0,3.3661875427789187,,2025-09-23 08:12:24.506661,2025-09-23,2028-02-04,3.4680355920602333,34.68035592060234
ENB204DPSH101004,15,158.833333333,10.588888888866668,1786.3419503085763,2018-03-05,6.55441478439425,1.0,15.0,8.44558521560575,,2025-09-23 08:12:24.506661,2025-09-23,2033-03-05,5.404517453798769,36.03011635865846
ENB204DPSML111352,3,8.216666666,2.7388888886666667,1684.3419503085763,2019-10-19,4.930869267624915,1.0,10.0,5.069130732375085,,2025-09-23 08:12:24.506661,2025-09-23,2029-10-19,5.226283367556468,52.26283367556468
ENB204DPSML111353,15,157.416666667,10.494444444466666,2035.3419503085763,2018-03-04,6.5571526351813825,1.0,15.0,8.442847364818618,,2025-09-23 08:12:24.506661,2025-09-23,2033-03-04,5.42094455852156,36.139630390143736
ENB204DPSML160801,3,31.033333333,10.344444444333334,1700.3419503085763,2019-10-05,4.969199178644764,1.0,10.0,5.030800821355236,,2025-09-23 08:12:24.506661,2025-09-23,2029-10-05,5.226283367556468,52.26283367556468
ENB204ESA120201,98,7117.266666771,72.62517006909184,1656.3419503085763,2018-02-04,6.633812457221081,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-04,0.0,0.0
ENB204FSRK175491,1,0.483333333,0.483333333,2163.3419503085765,2018-10-22,5.921971252566735,1.0,,,,2025-09-23 08:12:24.506661,2025-09-23,,0.0,
ENB204FTK175491,3,3.75,1.25,2163.3419503085765,2018-10-22,5.921971252566735,1.0,,,,2025-09-23 08:12:24.506661,2025-09-23,,0.0,
ENB204NaCL101471,17,4330.866666667,254.75686274511762,2041.3419503085763,2018-05-11,6.3709787816564,2.0,10.0,3.6290212183436,,2025-09-23 08:12:24.506661,2025-03-24,2028-05-11,2.1073237508555787,21.073237508555785
ENB204OAI202013,28,1092.083333328,39.002976190285715,320.34195030857643,2018-02-09,6.620123203285421,1.0,15.0,8.37987679671458,,2025-09-23 08:12:24.506661,2025-09-23,2033-02-09,8.410540725530458,56.07027150353638
ENB204OAI202015,27,219.966666665,8.146913580185185,317.34195030857643,2018-03-09,6.543463381245722,1.0,15.0,8.456536618754278,,2025-09-23 08:12:24.506661,2025-09-23,2033-03-09,8.410540725530458,56.07027150353638
