UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,HealthPercentage,MAE,RMSE,R-squared,F-statistic
ENB201BEaH1,25,872.6,34.904,300.34195030857643,2019-01-25,5.661875427789186,1.0,10.0,4.338124572210814,,2025-09-23 08:12:24.506661,2025-09-23,2029-01-25,4.470435224374016,44.70435224374016,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB201DORDG1D11,15,854.25,56.95,319.34195030857643,2018-03-04,6.5571526351813825,1.0,10.0,3.4428473648186175,,2025-09-23 08:12:24.506661,2025-09-23,2028-03-04,3.65840894279095,36.5840894279095,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB201DORDS1EU2,15,123.033333333,8.2022222222,319.34195030857643,2018-03-04,6.5571526351813825,1.0,10.0,3.4428473648186175,,2025-09-23 08:12:24.506661,2025-09-23,2028-03-04,3.720076788798263,37.20076788798263,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB201DPSM160801,3,8.266666665999999,2.755555555333333,350.34195030857643,2019-10-19,4.930869267624915,2.0,10.0,5.069130732375085,,2025-09-23 08:12:24.506661,2025-03-24,2029-10-19,5.272158756603717,52.721587566037165,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB201FGMSO6031,60,3196.199999994,53.2699999999,319.34195030857643,2018-02-04,6.633812457221081,4.0,10.0,3.3661875427789187,,2025-09-23 08:12:24.506661,2024-12-23,2028-02-04,3.643550080471435,36.43550080471435,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB201FGMSO6032,59,4778.733333333,80.99548022598304,334.34195030857643,2018-02-04,6.633812457221081,4.0,10.0,3.3661875427789187,,2025-09-23 08:12:24.506661,2024-12-23,2028-02-04,3.781866251058573,37.81866251058573,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB201M1,2,28.283333333,14.1416666665,1700.3419503085763,2019-10-19,4.930869267624915,2.0,10.0,5.069130732375085,,2025-09-23 08:12:24.506661,2025-03-24,2029-10-19,5.731678602031847,57.31678602031847,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204AN1,1,1.45,1.45,2059.3419503085765,2019-02-03,5.637234770704997,2.0,10.0,4.362765229295003,,2025-09-23 08:12:24.506661,2025-03-24,2029-02-03,5.271083441208432,52.71083441208433,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204ATRK175481,34,95.399999994,2.805882352764706,683.3419503085763,2018-04-12,6.450376454483231,1.0,10.0,3.549623545516769,,2025-09-23 08:12:24.506661,2025-09-23,2028-04-12,3.8426979439465034,38.426979439465036,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204AtAN1,9,29.5,3.2777777777777777,352.34195030857643,2018-06-11,6.286105407255304,1.0,10.0,3.713894592744696,,2025-09-23 08:12:24.506661,2025-09-23,2028-06-11,4.017082158914975,40.170821589149746,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204AtRK175491,7,9.883333333,1.4119047618571428,343.34195030857643,2018-04-25,6.414784394250513,1.0,10.0,3.585215605749487,,2025-09-23 08:12:24.506661,2025-09-23,2028-04-25,3.9141408073409423,39.14140807340942,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204DOU210001,15,126.033333333,8.4022222222,319.34195030857643,2018-01-03,6.721423682409308,1.0,10.0,3.2785763175906917,,2025-09-23 08:12:24.506661,2025-09-23,2028-01-03,3.572030222580384,35.72030222580384,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204DOU210002,15,112.75,7.516666666666667,319.34195030857643,2018-02-04,6.633812457221081,1.0,10.0,3.3661875427789187,,2025-09-23 08:12:24.506661,2025-09-23,2028-02-04,3.651973716146151,36.519737161461514,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204DPSH101004,15,158.833333333,10.588888888866668,1786.3419503085763,2018-03-05,6.55441478439425,1.0,15.0,8.44558521560575,,2025-09-23 08:12:24.506661,2025-09-23,2033-03-05,8.19248227628255,54.61654850855033,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204DPSML111352,3,8.216666666,2.7388888886666667,1684.3419503085763,2019-10-19,4.930869267624915,1.0,10.0,5.069130732375085,,2025-09-23 08:12:24.506661,2025-09-23,2029-10-19,5.754952831721758,57.54952831721758,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204DPSML111353,15,157.416666667,10.494444444466666,2035.3419503085763,2018-03-04,6.5571526351813825,1.0,15.0,8.442847364818618,,2025-09-23 08:12:24.506661,2025-09-23,2033-03-04,8.280246152416554,55.20164101611036,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB204DPSML160801,3,31.033333333,10.344444444333334,1700.3419503085763,2019-10-05,4.969199178644764,1.0,10.0,5.030800821355236,,2025-09-23 08:12:24.506661,2025-09-23,2029-10-05,5.703988344236359,57.03988344236359,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
