Room,Frequency,DURATION sum,DURATION mean,Average Frequency,Peak Quarter Valid,Utilization Rate (%)
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
,,,,,True,
